ticker,fill_price,first_price,bias,cell_actual,cell_at_fill,cell_by_first_price,cell_mismatch,outcome,exit_price,pnl_cents,pnl_dollars,direction,ts
KXWTACHALLENGERMATCH-26APR28WANQUE-WAN,57,0,,WTA_CHALL_leader_55-59,WTA_CHALL_leader_55-59,,,scalp,77,200,20.00,leader,2026-04-28 08:22:41 AM ET
KXATPCHALLENGERMATCH-26APR28FORBAR-FOR,47,0,,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,,,scalp,60,-29,-2.90,underdog,2026-04-28 08:33:24 AM ET
KXWTACHALLENGERMATCH-26APR28TOMSOR-TOM,56,0,,WTA_CHALL_leader_55-59,WTA_CHALL_leader_55-59,,,settle_loss,1,-550,-55.00,leader,2026-04-28 08:55:19 AM ET
KXATPCHALLENGERMATCH-26APR28ECHGAR-GAR,82,0,,ATP_CHALL_leader_80-84,ATP_CHALL_leader_80-84,,,scalp,97,160,16.00,leader,2026-04-28 09:10:32 AM ET
KXATPMATCH-26APR28CERBLO-BLO,31,0,,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,,,scalp,46,150,15.00,underdog,2026-04-28 09:39:54 AM ET
KXATPCHALLENGERMATCH-26APR28FENMMO-MMO,79,0,,ATP_CHALL_leader_75-79,ATP_CHALL_leader_75-79,,,scalp,89,100,10.00,leader,2026-04-28 10:41:13 AM ET
KXATPCHALLENGERMATCH-26APR28VISLAL-LAL,22,0,,ATP_CHALL_underdog_20-24,ATP_CHALL_underdog_20-24,,,unknown,0,0,0.00,underdog,2026-04-28 11:48:57 AM ET
KXATPCHALLENGERMATCH-26APR28GIUBIT-GIU,68,0,,ATP_CHALL_leader_65-69,ATP_CHALL_leader_65-69,,,scalp,98,300,30.00,leader,2026-04-28 12:54:39 PM ET
KXATPCHALLENGERMATCH-26APR28STRBAX-STR,45,0,,ATP_CHALL_underdog_45-49,ATP_CHALL_underdog_45-49,,,unknown,0,0,0.00,underdog,2026-04-28 02:13:54 PM ET
KXATPMATCH-26APR28MENZVE-MEN,33,0,,ATP_MAIN_underdog_30-34,ATP_MAIN_underdog_30-34,,,unknown,0,0,0.00,underdog,2026-04-28 02:53:06 PM ET
KXATPCHALLENGERMATCH-26APR28GEEXIL-XIL,41,0,,ATP_CHALL_underdog_40-44,ATP_CHALL_underdog_40-44,,,unknown,0,0,0.00,underdog,2026-04-28 03:54:27 PM ET
