ticker_idx,cell,regime,anchor,offset,match_start_ts
882211,62,r55_64,62,2,1770218100.0
900498,22,r15_24,22,1,1770219480.0
900056,79,r75_84,79,2,1770219480.0
887780,38,r35_44,38,5,1770223200.0
888012,79,r75_84,79,6,1770223200.0
891792,41,r35_44,41,1,1770225780.0
891335,60,r55_64,60,2,1770225780.0
898276,52,r45_54,52,2,1770227400.0
900932,73,r65_74,73,2,1770229620.0
901245,30,r25_34,30,2,1770229620.0
885393,32,r25_34,32,3,1770231960.0
879559,60,r55_64,60,4,1770235620.0
899673,49,r45_54,49,7,1770236100.0
899862,64,r55_64,64,2,1770236100.0
896237,75,r75_84,75,2,1770241800.0
875646,39,r35_44,39,3,1770243060.0
876178,64,r55_64,64,3,1770243060.0
886274,26,r25_34,26,4,1770246840.0
896623,13,r05_14,13,2,1770251640.0
876713,77,r75_84,77,1,1770252480.0
877340,27,r25_34,27,2,1770252480.0
883378,87,r85_94,87,2,1770255120.0
882750,16,r15_24,16,2,1770255120.0
892250,56,r55_64,56,3,1770260880.0
899150,49,r45_54,49,4,1770267780.0
926525,38,r35_44,38,1,1770289860.0
926083,62,r55_64,62,2,1770289860.0
918802,68,r65_74,68,1,1770290280.0
919269,33,r25_34,33,1,1770290280.0
910503,48,r45_54,48,2,1770291480.0
924443,20,r15_24,20,3,1770293100.0
924202,82,r75_84,82,2,1770293100.0
918433,62,r55_64,62,2,1770294300.0
918619,60,r55_64,60,2,1770294300.0
930355,57,r55_64,57,2,1770295800.0
930783,45,r45_54,45,2,1770295800.0
921270,32,r25_34,32,2,1770297420.0
920860,49,r45_54,49,2,1770297600.0
920446,53,r45_54,53,2,1770297600.0
924695,51,r45_54,51,6,1770299220.0
925113,55,r55_64,55,2,1770299220.0
906700,80,r75_84,80,1,1770301800.0
907121,24,r15_24,24,3,1770301800.0
911245,73,r65_74,73,1,1770302700.0
910872,30,r25_34,30,1,1770302700.0
914666,40,r35_44,40,2,1770305880.0
922598,31,r25_34,31,2,1770309180.0
922194,70,r65_74,70,2,1770309180.0
905319,36,r35_44,36,2,1770309600.0
905624,66,r65_74,66,2,1770309600.0
919701,70,r65_74,70,1,1770311760.0
925802,32,r25_34,32,1,1770312780.0
925512,67,r65_74,67,1,1770312780.0
906306,73,r65_74,73,2,1770319680.0
912663,81,r75_84,81,1,1770319680.0
905923,31,r25_34,31,2,1770319680.0
913140,20,r15_24,20,2,1770319680.0
907548,84,r75_84,84,1,1770322860.0
914158,86,r85_94,86,3,1770333180.0
903538,12,r05_14,12,1,1770336360.0
904395,89,r85_94,89,2,1770336360.0
926941,49,r45_54,49,2,1770339540.0
903004,38,r35_44,38,2,1770340740.0
902445,65,r65_74,65,2,1770340740.0
917015,30,r25_34,30,2,1770346800.0
911633,18,r15_24,18,2,1770349200.0
912161,84,r75_84,84,1,1770349200.0
923589,41,r35_44,41,3,1770355380.0
909437,71,r65_74,71,2,1770361680.0
951985,50,r45_54,50,2,1770377760.0
949032,40,r35_44,40,2,1770383340.0
948446,62,r55_64,62,2,1770383340.0
942150,53,r45_54,53,2,1770385920.0
942657,49,r45_54,49,2,1770385920.0
940450,53,r45_54,53,3,1770389820.0
939982,49,r45_54,49,3,1770389820.0
937675,35,r35_44,35,3,1770391620.0
946639,65,r65_74,65,2,1770391800.0
947051,35,r35_44,35,2,1770391800.0
943155,65,r65_74,65,1,1770394140.0
944038,47,r45_54,47,2,1770394800.0
938079,70,r65_74,70,1,1770398040.0
939012,48,r45_54,48,2,1770400440.0
939497,57,r55_64,57,2,1770400440.0
945032,64,r55_64,64,1,1770401820.0
945555,39,r35_44,39,1,1770401820.0
947454,35,r35_44,35,1,1770405720.0
947942,67,r65_74,67,2,1770405720.0
934264,29,r25_34,29,2,1770410160.0
933752,73,r65_74,73,1,1770410160.0
